OfftakeName,Month,Year,Week,transaction_date,transaction_sum,transaction_avg
Water Ordering - 32287,7,2021,29,7/12/2021,414.7624054,138.2541351
Water Ordering - 32288,7,2021,29,7/12/2021,183.25597,61.08532333
Water Ordering - 32340,7,2021,29,7/12/2021,295.3001175,98.4333725
Water Ordering - 32286,7,2021,29,7/13/2021,171.2615089,57.08716965
Water Ordering - 32287,7,2021,29,7/13/2021,414.7624054,138.2541351
Water Ordering - 32288,7,2021,29,7/13/2021,183.25597,61.08532333
Water Ordering - 32340,7,2021,29,7/13/2021,295.3001175,98.4333725
Water Ordering - 32286,7,2021,29,7/14/2021,171.2615089,57.08716965
Water Ordering - 32287,7,2021,29,7/14/2021,821.5248108,136.9208018
Water Ordering - 32288,7,2021,29,7/14/2021,183.25597,61.08532333
Water Ordering - 32340,7,2021,29,7/14/2021,295.3001175,98.4333725
Water Ordering - 32286,7,2021,29,7/15/2021,171.2615089,57.08716965
Water Ordering - 32287,7,2021,29,7/15/2021,691.2706757,138.2541351
Water Ordering - 32288,7,2021,29,7/15/2021,183.25597,61.08532333
Water Ordering - 32340,7,2021,29,7/15/2021,295.3001175,98.4333725
Water Ordering - 32286,7,2021,29,7/16/2021,171.2615089,57.08716965
Water Ordering - 32287,7,2021,29,7/16/2021,553.0165405,138.2541351
Water Ordering - 32288,7,2021,29,7/16/2021,183.25597,61.08532333
Water Ordering - 32340,7,2021,29,7/16/2021,295.3001175,98.4333725
Water Ordering - 32286,7,2021,29,7/17/2021,171.2615089,57.08716965
Water Ordering - 32287,7,2021,29,7/17/2021,414.7624054,138.2541351
Water Ordering - 32288,7,2021,29,7/17/2021,183.25597,61.08532333
Water Ordering - 32340,7,2021,29,7/17/2021,295.3001175,98.4333725
Water Ordering - 32286,7,2021,30,7/18/2021,171.2615089,57.08716965
Water Ordering - 32287,7,2021,30,7/18/2021,414.7624054,138.2541351
Water Ordering - 32288,7,2021,30,7/18/2021,183.25597,61.08532333
Water Ordering - 32340,7,2021,30,7/18/2021,295.3001175,98.4333725
Water Ordering - 32286,7,2021,30,7/19/2021,171.2615089,57.08716965
Water Ordering - 32287,7,2021,30,7/19/2021,414.7624054,138.2541351
Water Ordering - 32288,7,2021,30,7/19/2021,183.25597,61.08532333
Water Ordering - 32340,7,2021,30,7/19/2021,295.3001175,98.4333725
Water Ordering - 32286,7,2021,30,7/20/2021,171.2615089,57.08716965
Water Ordering - 32287,7,2021,30,7/20/2021,414.7624054,138.2541351
Water Ordering - 32288,7,2021,30,7/20/2021,183.25597,61.08532333
Water Ordering - 32340,7,2021,30,7/20/2021,295.3001175,98.4333725
Water Ordering - 32286,7,2021,30,7/21/2021,171.2615089,57.08716965
Water Ordering - 32287,7,2021,30,7/21/2021,414.7624054,138.2541351
Water Ordering - 32288,7,2021,30,7/21/2021,183.25597,61.08532333
Water Ordering - 32340,7,2021,30,7/21/2021,295.3001175,98.4333725
Water Ordering - 32286,7,2021,30,7/22/2021,171.2615089,57.08716965
Water Ordering - 32287,7,2021,30,7/22/2021,414.7632141,138.2544047
Water Ordering - 32288,7,2021,30,7/22/2021,183.25597,61.08532333
Water Ordering - 32340,7,2021,30,7/22/2021,295.3001175,98.4333725
Water Ordering - 32286,7,2021,30,7/23/2021,171.2615089,57.08716965
Water Ordering - 32287,7,2021,30,7/23/2021,414.7624054,138.2541351
Water Ordering - 32288,7,2021,30,7/23/2021,183.25597,61.08532333
Water Ordering - 32340,7,2021,30,7/23/2021,295.3001175,98.4333725
Water Ordering - 32286,7,2021,30,7/24/2021,171.2615089,57.08716965
Water Ordering - 32287,7,2021,30,7/24/2021,414.7624054,138.2541351
Water Ordering - 32288,7,2021,30,7/24/2021,183.25597,61.08532333
Water Ordering - 32340,7,2021,30,7/24/2021,295.3001175,98.4333725
Water Ordering - 32286,7,2021,31,7/25/2021,171.2615089,57.08716965
Water Ordering - 32287,7,2021,31,7/25/2021,276.5082703,138.2541351
Water Ordering - 32288,7,2021,31,7/25/2021,183.25597,61.08532333
Water Ordering - 32340,7,2021,31,7/25/2021,295.3001175,98.4333725
Water Ordering - 32286,7,2021,31,7/26/2021,171.2615089,57.08716965
Water Ordering - 32287,7,2021,31,7/26/2021,691.2706757,138.2541351
Water Ordering - 32288,7,2021,31,7/26/2021,183.25597,61.08532333
Water Ordering - 32340,7,2021,31,7/26/2021,295.3001175,98.4333725
Water Ordering - 32286,7,2021,31,7/27/2021,171.2615089,57.08716965
Water Ordering - 32287,7,2021,31,7/27/2021,747.2706757,149.4541351
Water Ordering - 32288,7,2021,31,7/27/2021,183.25597,61.08532333
Water Ordering - 32340,7,2021,31,7/27/2021,295.3001175,98.4333725
Water Ordering - 32286,7,2021,31,7/28/2021,171.2615089,57.08716965
Water Ordering - 32287,7,2021,31,7/28/2021,691.2706757,138.2541351
Water Ordering - 32288,7,2021,31,7/28/2021,183.25597,61.08532333
Water Ordering - 32340,7,2021,31,7/28/2021,295.3001175,98.4333725
Water Ordering - 32286,7,2021,31,7/29/2021,171.2615089,57.08716965
Water Ordering - 32287,7,2021,31,7/29/2021,414.7624054,138.2541351
Water Ordering - 32288,7,2021,31,7/29/2021,183.25597,61.08532333
Water Ordering - 32340,7,2021,31,7/29/2021,295.3001175,98.4333725
Water Ordering - 32286,7,2021,31,7/30/2021,171.2615089,57.08716965
Water Ordering - 32287,7,2021,31,7/30/2021,714.2706757,142.8541351
Water Ordering - 32288,7,2021,31,7/30/2021,183.25597,61.08532333
Water Ordering - 32340,7,2021,31,7/30/2021,295.3001175,98.4333725
Water Ordering - 32286,7,2021,31,7/31/2021,171.2615089,57.08716965
Water Ordering - 32287,7,2021,31,7/31/2021,691.0167694,138.2033539
Water Ordering - 32288,7,2021,31,7/31/2021,183.25597,61.08532333
Water Ordering - 32340,7,2021,31,7/31/2021,295.3001175,98.4333725
Water Ordering - 32286,8,2021,32,8/01/2021,171.2615089,57.08716965
Water Ordering - 32287,8,2021,32,8/01/2021,414.7624054,138.2541351
Water Ordering - 32288,8,2021,32,8/01/2021,183.25597,61.08532333
Water Ordering - 32340,8,2021,32,8/01/2021,295.3001175,98.4333725
Water Ordering - 32286,8,2021,32,8/02/2021,171.2615089,57.08716965
Water Ordering - 32287,8,2021,32,8/02/2021,276.5082703,138.2541351
Water Ordering - 32288,8,2021,32,8/02/2021,183.25597,61.08532333
Water Ordering - 32340,8,2021,32,8/02/2021,295.3001175,98.4333725
Water Ordering - 32286,8,2021,32,8/03/2021,171.2615089,57.08716965
Water Ordering - 32287,8,2021,32,8/03/2021,414.7624054,138.2541351
Water Ordering - 32288,8,2021,32,8/03/2021,183.25597,61.08532333
Water Ordering - 32340,8,2021,32,8/03/2021,295.3001175,98.4333725
Water Ordering - 32286,8,2021,32,8/04/2021,171.2615089,57.08716965
Water Ordering - 32287,8,2021,32,8/04/2021,414.7624054,138.2541351
Water Ordering - 32288,8,2021,32,8/04/2021,183.25597,61.08532333
Water Ordering - 32340,8,2021,32,8/04/2021,295.3001175,98.4333725
Water Ordering - 32286,8,2021,32,8/05/2021,171.2615089,57.08716965
Water Ordering - 32287,8,2021,32,8/05/2021,819.5254517,136.5875753
Water Ordering - 32288,8,2021,32,8/05/2021,183.25597,61.08532333
Water Ordering - 32340,8,2021,32,8/05/2021,295.3001175,98.4333725
Water Ordering - 32286,8,2021,32,8/06/2021,171.2615089,57.08716965
Water Ordering - 32287,8,2021,32,8/06/2021,414.7633667,138.2544556
Water Ordering - 32288,8,2021,32,8/06/2021,183.25597,61.08532333
Water Ordering - 32340,8,2021,32,8/06/2021,295.3001175,98.4333725
Water Ordering - 32286,8,2021,32,8/07/2021,171.2615089,57.08716965
Water Ordering - 32287,8,2021,32,8/07/2021,416.6727295,138.8909098
Water Ordering - 32288,8,2021,32,8/07/2021,183.25597,61.08532333
Water Ordering - 32340,8,2021,32,8/07/2021,295.3001175,98.4333725
Water Ordering - 32286,8,2021,33,8/08/2021,171.2615089,57.08716965
Water Ordering - 32287,8,2021,33,8/08/2021,1520.301437,138.2092216
Water Ordering - 32288,8,2021,33,8/08/2021,183.25597,61.08532333
Water Ordering - 32340,8,2021,33,8/08/2021,295.3001175,98.4333725
Water Ordering - 32286,8,2021,33,8/09/2021,171.2615089,57.08716965
Water Ordering - 32287,8,2021,33,8/09/2021,420.139328,140.0464427
Water Ordering - 32288,8,2021,33,8/09/2021,183.25597,61.08532333
Water Ordering - 32340,8,2021,33,8/09/2021,295.3001175,98.4333725
Water Ordering - 32286,8,2021,33,8/10/2021,171.2615089,57.08716965
Water Ordering - 32287,8,2021,33,8/10/2021,141.2463989,141.2463989
Water Ordering - 32288,8,2021,33,8/10/2021,183.25597,61.08532333
Water Ordering - 32340,8,2021,33,8/10/2021,295.3001175,98.4333725
Water Ordering - 32286,8,2021,33,8/11/2021,171.2615089,57.08716965
Water Ordering - 32287,8,2021,33,8/11/2021,430.5218506,143.5072835
Water Ordering - 32288,8,2021,33,8/11/2021,183.2560158,61.08533859
Water Ordering - 32340,8,2021,33,8/11/2021,295.3001175,98.4333725
Water Ordering - 32286,8,2021,33,8/12/2021,171.2615089,57.08716965
Water Ordering - 32287,8,2021,33,8/12/2021,869.8277283,144.971288
Water Ordering - 32288,8,2021,33,8/12/2021,183.2560387,61.08534622
Water Ordering - 32340,8,2021,33,8/12/2021,295.3001175,98.4333725
Water Ordering - 32286,8,2021,33,8/13/2021,171.2615089,57.08716965
Water Ordering - 32287,8,2021,33,8/13/2021,1173.42804,146.6785049
Water Ordering - 32288,8,2021,33,8/13/2021,183.2560387,61.08534622
Water Ordering - 32340,8,2021,33,8/13/2021,295.3001175,98.4333725
Water Ordering - 32286,8,2021,33,8/14/2021,171.2615089,57.08716965
Water Ordering - 32287,8,2021,33,8/14/2021,739.0784454,147.8156891
Water Ordering - 32288,8,2021,33,8/14/2021,183.2560387,61.08534622
Water Ordering - 32340,8,2021,33,8/14/2021,295.3001175,98.4333725
Water Ordering - 32286,8,2021,34,8/15/2021,171.2615089,57.08716965
Water Ordering - 32287,8,2021,34,8/15/2021,1624.683517,147.6985016
Water Ordering - 32288,8,2021,34,8/15/2021,183.2560387,61.08534622
Water Ordering - 32340,8,2021,34,8/15/2021,295.3001175,98.4333725
Water Ordering - 32286,8,2021,34,8/16/2021,57.08716965,57.08716965
Water Ordering - 32287,8,2021,34,8/16/2021,634.4655304,158.6163826
Water Ordering - 32288,8,2021,34,8/16/2021,61.08534622,61.08534622
Water Ordering - 32340,8,2021,34,8/16/2021,98.4333725,98.4333725
Water Ordering - 32286,8,2021,34,8/17/2021,57.08716965,57.08716965
Water Ordering - 32287,8,2021,34,8/17/2021,594.2133026,148.5533257
Water Ordering - 32288,8,2021,34,8/17/2021,61.08534622,61.08534622
Water Ordering - 32340,8,2021,34,8/17/2021,98.4333725,98.4333725
Water Ordering - 32286,8,2021,34,8/18/2021,57.08716965,57.08716965
Water Ordering - 32287,8,2021,34,8/18/2021,148.8787384,148.8787384
Water Ordering - 32288,8,2021,34,8/18/2021,61.08534622,61.08534622
Water Ordering - 32340,8,2021,34,8/18/2021,98.4333725,98.4333725
Water Ordering - 32286,8,2021,34,8/19/2021,57.08716965,57.08716965
Water Ordering - 32287,8,2021,34,8/19/2021,897.6912689,149.6152115
Water Ordering - 32288,8,2021,34,8/19/2021,61.08534622,61.08534622
Water Ordering - 32340,8,2021,34,8/19/2021,98.4333725,98.4333725
Water Ordering - 32286,8,2021,34,8/20/2021,57.08716965,57.08716965
Water Ordering - 32287,8,2021,34,8/20/2021,150.2567749,150.2567749
Water Ordering - 32288,8,2021,34,8/20/2021,245.5980453,61.39951134
Water Ordering - 32340,8,2021,34,8/20/2021,98.4333725,98.4333725
Water Ordering - 32286,8,2021,34,8/21/2021,57.08716965,57.08716965
Water Ordering - 32287,8,2021,34,8/21/2021,909.1325226,151.5220871
Water Ordering - 32288,8,2021,34,8/21/2021,61.9081192,61.9081192
Water Ordering - 32340,8,2021,34,8/21/2021,98.4333725,98.4333725
Water Ordering - 32286,8,2021,35,8/22/2021,57.08716965,57.08716965
Water Ordering - 32287,8,2021,35,8/22/2021,1224.266479,153.0333099
Water Ordering - 32288,8,2021,35,8/22/2021,61.9081192,61.9081192
Water Ordering - 32340,8,2021,35,8/22/2021,98.4333725,98.4333725
Water Ordering - 32286,8,2021,35,8/23/2021,57.08716965,57.08716965
Water Ordering - 32287,8,2021,35,8/23/2021,153.9559326,153.9559326
Water Ordering - 32288,8,2021,35,8/23/2021,61.9081192,61.9081192
Water Ordering - 32340,8,2021,35,8/23/2021,98.4333725,98.4333725
Water Ordering - 32286,8,2021,35,8/24/2021,57.08716965,57.08716965
Water Ordering - 32287,8,2021,35,8/24/2021,156.3891449,156.3891449
Water Ordering - 32288,8,2021,35,8/24/2021,61.9081192,61.9081192
Water Ordering - 32340,8,2021,35,8/24/2021,98.4333725,98.4333725
Water Ordering - 32286,8,2021,35,8/25/2021,57.08716965,57.08716965
Water Ordering - 32287,8,2021,35,8/25/2021,626.8367004,156.7091751
Water Ordering - 32288,8,2021,35,8/25/2021,61.9081192,61.9081192
Water Ordering - 32340,8,2021,35,8/25/2021,98.4333725,98.4333725
Water Ordering - 32286,8,2021,35,8/26/2021,57.08716965,57.08716965
Water Ordering - 32287,8,2021,35,8/26/2021,157.1924744,157.1924744
Water Ordering - 32288,8,2021,35,8/26/2021,61.9081192,61.9081192
Water Ordering - 32340,8,2021,35,8/26/2021,98.4333725,98.4333725
Water Ordering - 32286,8,2021,35,8/27/2021,57.08716965,57.08716965
Water Ordering - 32287,8,2021,35,8/27/2021,157.1924744,157.1924744
Water Ordering - 32288,8,2021,35,8/27/2021,124.4390373,62.21951866
Water Ordering - 32340,8,2021,35,8/27/2021,98.4333725,98.4333725
Water Ordering - 32286,8,2021,35,8/28/2021,57.08716965,57.08716965
Water Ordering - 32287,8,2021,35,8/28/2021,160.1403656,160.1403656
Water Ordering - 32288,8,2021,35,8/28/2021,442.0344048,63.14777211
Water Ordering - 32340,8,2021,35,8/28/2021,98.4333725,98.4333725
Water Ordering - 32286,8,2021,36,8/29/2021,57.08716965,57.08716965
Water Ordering - 32287,8,2021,36,8/29/2021,448.4210968,149.4736989
Water Ordering - 32288,8,2021,36,8/29/2021,63.85757446,63.85757446
Water Ordering - 32340,8,2021,36,8/29/2021,98.4333725,98.4333725
Water Ordering - 32286,8,2021,36,8/30/2021,57.08716965,57.08716965
Water Ordering - 32287,8,2021,36,8/30/2021,1936.681305,161.3901087
Water Ordering - 32288,8,2021,36,8/30/2021,453.0677872,64.7239696
Water Ordering - 32340,8,2021,36,8/30/2021,98.4333725,98.4333725
Water Ordering - 32286,8,2021,36,8/31/2021,57.08716965,57.08716965
Water Ordering - 32287,8,2021,36,8/31/2021,1144.274139,163.4677342
Water Ordering - 32288,8,2021,36,8/31/2021,463.6005173,66.22864532
Water Ordering - 32340,8,2021,36,8/31/2021,98.4333725,98.4333725
Water Ordering - 32286,9,2021,36,9/01/2021,57.08716965,57.08716965
Water Ordering - 32287,9,2021,36,9/01/2021,164.1324463,164.1324463
Water Ordering - 32288,9,2021,36,9/01/2021,67.00243378,67.00243378
Water Ordering - 32340,9,2021,36,9/01/2021,98.4333725,98.4333725
Water Ordering - 32286,9,2021,36,9/02/2021,57.08716965,57.08716965
Water Ordering - 32287,9,2021,36,9/02/2021,164.1324463,164.1324463
Water Ordering - 32288,9,2021,36,9/02/2021,67.00243378,67.00243378
Water Ordering - 32340,9,2021,36,9/02/2021,98.4333725,98.4333725
Water Ordering - 32286,9,2021,36,9/03/2021,57.08716965,57.08716965
Water Ordering - 32287,9,2021,36,9/03/2021,658.666687,164.6666718
Water Ordering - 32288,9,2021,36,9/03/2021,134.2129059,67.10645294
Water Ordering - 32340,9,2021,36,9/03/2021,98.4333725,98.4333725
Water Ordering - 32286,9,2021,36,9/04/2021,57.08716965,57.08716965
Water Ordering - 32287,9,2021,36,9/04/2021,165.1529846,165.1529846
Water Ordering - 32288,9,2021,36,9/04/2021,67.42353058,67.42353058
Water Ordering - 32340,9,2021,36,9/04/2021,98.4333725,98.4333725
Water Ordering - 32286,9,2021,37,9/05/2021,57.08716965,57.08716965
Water Ordering - 32287,9,2021,37,9/05/2021,330.3059692,165.1529846
Water Ordering - 32288,9,2021,37,9/05/2021,67.44030762,67.44030762
Water Ordering - 32340,9,2021,37,9/05/2021,98.4333725,98.4333725
Water Ordering - 32286,9,2021,37,9/06/2021,57.08716965,57.08716965
Water Ordering - 32287,9,2021,37,9/06/2021,165.1529846,165.1529846
Water Ordering - 32288,9,2021,37,9/06/2021,67.44030762,67.44030762
Water Ordering - 32340,9,2021,37,9/06/2021,98.4333725,98.4333725
Water Ordering - 32286,9,2021,37,9/07/2021,57.08716965,57.08716965
Water Ordering - 32287,9,2021,37,9/07/2021,496.4979401,165.4993134
Water Ordering - 32288,9,2021,37,9/07/2021,67.44273376,67.44273376
Water Ordering - 32340,9,2021,37,9/07/2021,98.4333725,98.4333725
Water Ordering - 32286,9,2021,37,9/08/2021,114.3796463,57.18982315
Water Ordering - 32287,9,2021,37,9/08/2021,1165.78566,166.5408085
Water Ordering - 32288,9,2021,37,9/08/2021,67.44273376,67.44273376
Water Ordering - 32340,9,2021,37,9/08/2021,98.4333725,98.4333725
Water Ordering - 32286,9,2021,37,9/09/2021,231.2503624,57.8125906
